YEAR,week_start,cases
2020,12/29/19,1
2020,1/5/20,0
2020,1/12/20,0
2020,1/19/20,0
2020,1/26/20,0
2020,2/2/20,0
2020,2/9/20,0
2020,2/16/20,0
2020,2/23/20,0
2020,3/1/20,0
2020,3/8/20,0
2020,3/15/20,0
2020,3/22/20,0
2020,3/29/20,0
2020,4/5/20,0
2020,4/12/20,0
2020,4/19/20,0
2020,4/26/20,0
2020,5/3/20,0
2020,5/10/20,0
2020,5/17/20,0
2020,5/24/20,0
2020,5/31/20,2
2020,6/7/20,0
2020,6/14/20,0
2020,6/21/20,0
2020,6/28/20,0
2020,7/5/20,0
2020,7/12/20,0
2020,7/19/20,0
2020,7/26/20,0
2020,8/2/20,0
2020,8/9/20,0
2020,8/16/20,0
2020,8/23/20,0
2020,8/30/20,0
2020,9/6/20,0
2020,9/13/20,0
2020,9/20/20,0
2020,9/27/20,0
2020,10/4/20,0
2020,10/11/20,0
2020,10/18/20,0
2020,10/25/20,0
2020,11/1/20,0
2020,11/8/20,0
2020,11/15/20,0
2020,11/22/20,0
2020,11/29/20,0
2020,12/6/20,0
2020,12/13/20,0
2020,12/20/20,0
2020,12/27/20,0
2021,12/27/20,0
2021,1/3/21,0
2021,1/10/21,0
2021,1/17/21,0
2021,1/24/21,0
2021,1/31/21,0
2021,2/7/21,0
2021,2/14/21,0
2021,2/21/21,1
2021,2/28/21,0
2021,3/7/21,0
2021,3/14/21,0
2021,3/21/21,0
2021,3/28/21,0
2021,4/4/21,0
2021,4/11/21,0
2021,4/18/21,0
2021,4/25/21,0
2021,5/2/21,0
2021,5/9/21,1
2021,5/16/21,1
2021,5/23/21,1
2021,5/30/21,2
2021,6/6/21,4
2021,6/13/21,1
2021,6/20/21,2
2021,6/27/21,4
2021,7/4/21,5
2021,7/11/21,1
2021,7/18/21,1
2021,7/25/21,3
2021,8/1/21,7
2021,8/8/21,10
2021,8/15/21,31
2021,8/22/21,69
2021,8/29/21,102
2021,9/5/21,141
2021,9/12/21,223
2021,9/19/21,247
2021,9/26/21,218
2021,10/3/21,187
2021,10/10/21,116
2021,10/17/21,86
2021,10/24/21,48
2021,10/31/21,24
2021,11/7/21,11
2021,11/14/21,6
2021,11/21/21,2
2021,11/28/21,4
2021,12/5/21,3
2021,12/12/21,0
2021,12/19/21,0
2021,12/26/21,0
