YEAR,week_start,cases
2006,1/1/06,0
2006,1/8/06,0
2006,1/15/06,0
2006,1/22/06,0
2006,1/29/06,0
2006,2/5/06,0
2006,2/12/06,0
2006,2/19/06,0
2006,2/26/06,0
2006,3/5/06,0
2006,3/12/06,0
2006,3/19/06,0
2006,3/26/06,0
2006,4/2/06,0
2006,4/9/06,0
2006,4/16/06,0
2006,4/23/06,0
2006,4/30/06,0
2006,5/7/06,0
2006,5/14/06,0
2006,5/21/06,0
2006,5/28/06,0
2006,6/4/06,0
2006,6/11/06,0
2006,6/18/06,0
2006,6/25/06,0
2006,7/2/06,1
2006,7/9/06,3
2006,7/16/06,2
2006,7/23/06,1
2006,7/30/06,1
2006,8/6/06,1
2006,8/13/06,0
2006,8/20/06,3
2006,8/27/06,7
2006,9/3/06,6
2006,9/10/06,15
2006,9/17/06,10
2006,9/24/06,10
2006,10/1/06,11
2006,10/8/06,3
2006,10/15/06,2
2006,10/22/06,1
2006,10/29/06,1
2006,11/5/06,0
2006,11/12/06,1
2006,11/19/06,0
2006,11/26/06,0
2006,12/3/06,0
2006,12/10/06,0
2006,12/17/06,0
2006,12/24/06,0
2006,12/31/06,0
2007,12/31/06,0
2007,1/7/07,0
2007,1/14/07,0
2007,1/21/07,0
2007,1/28/07,0
2007,2/4/07,0
2007,2/11/07,0
2007,2/18/07,0
2007,2/25/07,0
2007,3/4/07,0
2007,3/11/07,0
2007,3/18/07,0
2007,3/25/07,0
2007,4/1/07,0
2007,4/8/07,0
2007,4/15/07,0
2007,4/22/07,0
2007,4/29/07,0
2007,5/6/07,0
2007,5/13/07,0
2007,5/20/07,0
2007,5/27/07,1
2007,6/3/07,1
2007,6/10/07,6
2007,6/17/07,4
2007,6/24/07,3
2007,7/1/07,2
2007,7/8/07,0
2007,7/15/07,1
2007,7/22/07,2
2007,7/29/07,2
2007,8/5/07,3
2007,8/12/07,6
2007,8/19/07,8
2007,8/26/07,9
2007,9/2/07,7
2007,9/9/07,6
2007,9/16/07,3
2007,9/23/07,3
2007,9/30/07,2
2007,10/7/07,0
2007,10/14/07,2
2007,10/21/07,0
2007,10/28/07,1
2007,11/4/07,1
2007,11/11/07,0
2007,11/18/07,0
2007,11/25/07,0
2007,12/2/07,0
2007,12/9/07,0
2007,12/16/07,0
2007,12/23/07,0
2007,12/30/07,0
2008,12/30/07,0
2008,1/6/08,0
2008,1/13/08,0
2008,1/20/08,0
2008,1/27/08,1
2008,2/3/08,0
2008,2/10/08,0
2008,2/17/08,0
2008,2/24/08,0
2008,3/2/08,0
2008,3/9/08,0
2008,3/16/08,0
2008,3/23/08,0
2008,3/30/08,0
2008,4/6/08,0
2008,4/13/08,0
2008,4/20/08,0
2008,4/27/08,0
2008,5/4/08,0
2008,5/11/08,0
2008,5/18/08,0
2008,5/25/08,0
2008,6/1/08,0
2008,6/8/08,0
2008,6/15/08,0
2008,6/22/08,0
2008,6/29/08,0
2008,7/6/08,4
2008,7/13/08,1
2008,7/20/08,1
2008,7/27/08,8
2008,8/3/08,8
2008,8/10/08,9
2008,8/17/08,11
2008,8/24/08,9
2008,8/31/08,12
2008,9/7/08,7
2008,9/14/08,9
2008,9/21/08,8
2008,9/28/08,1
2008,10/5/08,6
2008,10/12/08,0
2008,10/19/08,2
2008,10/26/08,0
2008,11/2/08,0
2008,11/9/08,1
2008,11/16/08,0
