"year","county","population","margin_of_error"
2006,"Maricopa County, Arizona",3768123,0
2007,"Maricopa County, Arizona",3880181,0
2008,"Maricopa County, Arizona",3954598,0
2009,"Maricopa County, Arizona",4023132,0
2010,"Maricopa County, Arizona",3751410,NA
2011,"Maricopa County, Arizona",3798374,NA
2012,"Maricopa County, Arizona",3841819,NA
2013,"Maricopa County, Arizona",3889161,NA
2014,"Maricopa County, Arizona",3947382,NA
2015,"Maricopa County, Arizona",4018143,NA
2016,"Maricopa County, Arizona",4088549,NA
2017,"Maricopa County, Arizona",4155501,NA
2018,"Maricopa County, Arizona",4253913,NA
2019,"Maricopa County, Arizona",4328810,NA
2020,"Maricopa County, Arizona",4412779,NA
2021,"Maricopa County, Arizona",4367186,NA
