LabWeek,Tot_Mosq_Abund,N_Pools,Tot_Mosq_Sampled,Mean_Mosq_Per_Pool,N_Pos_Pools,Prop_Pos_Pools,MIR,I_M,Inf_Mosq_Per_1000,Year,date,Date
1,46,17,46,2.7058823529411766,0,0,0,0,0,2006,2006-01-01,2006-01-01
3,2,2,2,1,0,0,0,0,0,2006,2006-01-08,2006-01-08
4,2,1,2,2,0,0,0,0,0,2006,2006-01-15,2006-01-15
5,16,3,16,5.333333333333334,0,0,0,0,0,2006,2006-01-22,2006-01-22
6,17,7,17,2.4285714285714284,0,0,0,0,0,2006,2006-01-29,2006-01-29
7,19,3,19,6.333333333333334,0,0,0,0,0,2006,2006-02-05,2006-02-05
8,6,2,6,3,0,0,0,0,0,2006,2006-02-12,2006-02-12
9,12,6,12,2,0,0,0,0,0,2006,2006-02-19,2006-02-19
10,14,4,14,3.5,0,0,0,0,0,2006,2006-02-26,2006-02-26
11,8,3,8,2.6666666666666665,0,0,0,0,0,2006,2006-03-05,2006-03-05
12,3,2,3,1.5,0,0,0,0,0,2006,2006-03-12,2006-03-12
13,30,5,30,6,0,0,0,0,0,2006,2006-03-19,2006-03-19
14,130,24,130,5.416666666666668,0,0,0,0,0,2006,2006-03-26,2006-03-26
15,213,38,213,4.918918918918919,0,0,0,0,0,2006,2006-04-02,2006-04-02
16,450,34,450,8.52,0,0,0,0,0,2006,2006-04-09,2006-04-09
17,173,26,173,6.653846153846154,0,0,0,0,0,2006,2006-04-16,2006-04-16
18,380,45,380,8.444444444444446,0,0,0,0,0,2006,2006-04-23,2006-04-23
19,533,49,533,10.0625,0,0,0,0,0,2006,2006-04-30,2006-04-30
20,250,50,250,5,0,0,0,0,0,2006,2006-05-07,2006-05-07
21,111,32,111,3.46875,0,0,0,0,0,2006,2006-05-14,2006-05-14
22,238,25,238,8.041666666666666,0,0,0,0,0,2006,2006-05-21,2006-05-21
23,11,4,11,2.75,0,0,0,0,0,2006,2006-05-28,2006-05-28
24,187,29,187,6.448275862068964,0,0,0,0,0,2006,2006-06-04,2006-06-04
25,213,21,213,10.142857142857144,0,0,0,0,0,2006,2006-06-11,2006-06-11
26,61,13,61,4.6923076923076925,0,0,0,0,0,2006,2006-06-18,2006-06-18
27,94,29,94,3.241379310344828,0,0,0,0,0,2006,2006-06-25,2006-06-25
28,201,24,201,8.375,0,0,0,0,0,2006,2006-07-02,2006-07-02
29,227,16,227,14.1875,1,0.0625,4.405286343612334,0.00429332529047044,4.29332529047044,2006,2006-07-09,2006-07-09
30,191,22,191,8.681818181818183,1,0.045454545454545456,5.235602094240837,0.005155554897814274,5.155554897814274,2006,2006-07-16,2006-07-16
31,88,22,88,4,2,0.09090909090909091,22.727272727272727,0.023545910323689467,23.54591032368947,2006,2006-07-23,2006-07-23
32,349,41,349,8.512195121951219,1,0.024390243902439025,2.865329512893983,0.0027398633255965033,2.7398633255965033,2006,2006-07-30,2006-07-30
33,121,16,121,7.5625,0,0,0,0,0,2006,2006-08-06,2006-08-06
34,382,36,382,10.611111111111109,3,0.08333333333333333,7.853403141361258,0.007878922467347005,7.878922467347005,2006,2006-08-13,2006-08-13
35,185,16,185,11.5625,3,0.1875,16.216216216216218,0.017154438363525593,17.154438363525593,2006,2006-08-20,2006-08-20
36,111,11,111,10.09090909090909,0,0,0,0,0,2006,2006-08-27,2006-08-27
37,55,6,55,9.166666666666666,0,0,0,0,0,2006,2006-09-03,2006-09-03
38,531,25,531,21.24,3,0.12,5.649717514124294,0.005793758864398479,5.793758864398479,2006,2006-09-10,2006-09-10
39,1245,39,1245,27.903225806451612,5,0.1282051282051282,4.5946346524381205,0.004888054442437673,4.888054442437673,2006,2006-09-17,2006-09-17
40,608,24,608,24.869565217391305,1,0.041666666666666664,1.6754079254079253,0.0017009363420622536,1.7009363420622536,2006,2006-09-24,2006-09-24
41,112,7,112,16,1,0.14285714285714285,8.928571428571429,0.009588155178369973,9.588155178369973,2006,2006-10-01,2006-10-01
42,221,19,221,11.631578947368421,1,0.05263157894736842,4.524886877828054,0.004495466775989554,4.495466775989554,2006,2006-10-08,2006-10-08
43,276,17,276,15.0625,0,0,0,0,0,2006,2006-10-15,2006-10-15
