Species,Trap.ID,LabDate,Pathogen,Females,MPP,Result,LabWeek,Tot_Mosq_Abund,N_Pools,Tot_Mosq_Sampled,Mean_Mosq_Per_Pool,N_Pos_Pools,Prop_Pos_Pools,MIR,I_M,Inf_Mosq_Per_1000,Year
Cx quinquefasciatus,RT121,2018-06-05,WNV,5,5,0,23,528,176,528,3,1,0.005681818181818182,1.8939393939393938,0.0018975377660568338,1.8975377660568338,2018
Cx quinquefasciatus,RT101,2018-06-13,WNV,1,1,0,24,480,157,479,3.050955414012739,1,0.006369426751592357,2.0876826722338206,0.0015961742813368485,1.5961742813368485,2018
Cx quinquefasciatus,RT106,2018-06-19,WNV,11,11,0,25,650,169,524,3.100591715976331,2,0.011834319526627219,3.816793893129771,0.002971801057683021,2.971801057683021,2018
Cx quinquefasciatus,RT164,2018-06-27,WNV,1,1,0,26,419,145,419,2.889655172413793,1,0.006896551724137931,2.3866348448687353,0.0023041556301911514,2.3041556301911514,2018
Cx quinquefasciatus,RT153,2018-07-05,WNV,1,1,0,27,460,68,386,5.676470588235294,1,0.014705882352941176,2.5906735751295336,0.002466135044364659,2.466135044364659,2018
Cx quinquefasciatus,RT101,2018-07-10,WNV,1,1,0,28,471,179,471,2.631284916201117,2,0.0111731843575419,4.246284501061571,0.0037383526515523124,3.7383526515523124,2018
Cx quinquefasciatus,RT101,2018-07-18,WNV,1,1,0,29,838,204,713,3.4950980392156863,7,0.03431372549019608,9.817671809256664,0.008691078590227441,8.691078590227441,2018
Cx quinquefasciatus,RT378,2018-07-26,WNV,1,1,0,30,2383,326,1783,5.469325153374233,4,0.012269938650306749,2.243409983174425,0.002055523815184035,2.055523815184035,2018
Cx quinquefasciatus,RT101,2018-08-01,WNV,5,5,0,31,735,205,738,3.6,1,0.004878048780487805,1.3550135501355014,0.001221749379327286,1.221749379327286,2018
Cx quinquefasciatus,RT400,2018-08-08,WNV,1,1,0,32,1848,215,970,4.511627906976744,2,0.009302325581395349,2.061855670103093,0.0018674266686732333,1.8674266686732333,2018
Cx quinquefasciatus,RT101,2018-08-15,WNV,2,2,0,33,1175,251,938,3.737051792828685,6,0.02390438247011952,6.396588486140725,0.006030425696609054,6.030425696609054,2018
Cx quinquefasciatus,RT106,2018-08-22,WNV,1,1,0,34,1199,316,1197,3.787974683544304,6,0.0189873417721519,5.012531328320803,0.0047810134228533085,4.7810134228533085,2018
Cx quinquefasciatus,RT101,2018-08-30,WNV,4,4,0,35,1491,259,1379,5.324324324324325,2,0.007722007722007722,1.4503263234227701,0.0012911618663766777,1.2911618663766777,2018
