Species,Trap.ID,LabDate,Pathogen,Females,MPP,Result,LabWeek,Tot_Mosq_Abund,N_Pools,Tot_Mosq_Sampled,Mean_Mosq_Per_Pool,N_Pos_Pools,Prop_Pos_Pools,MIR,I_M,Inf_Mosq_Per_1000,Year
Cx quinquefasciatus,RT870,2019-01-11,WNV,1,1,0,2,148,66,148,2.242424242424242,0,0,0,0,0,2019
Cx quinquefasciatus,RT67,2019-01-17,WNV,3,3,0,3,290,70,220,3.142857142857143,0,0,0,0,0,2019
Cx quinquefasciatus,RT808,2019-01-23,WNV,1,1,0,4,390,147,390,2.6530612244897958,0,0,0,0,0,2019
Cx quinquefasciatus,RT483,2019-01-30,WNV,1,1,0,5,316,77,243,3.155844155844156,0,0,0,0,0,2019
Cx quinquefasciatus,RT630,2019-02-06,WNV,6,6,0,6,57,20,57,2.85,0,0,0,0,0,2019
Cx quinquefasciatus,RT400,2019-02-13,WNV,1,1,0,7,42,35,42,1.2,0,0,0,0,0,2019
Cx quinquefasciatus,RT348,2019-02-20,WNV,1,1,0,8,178,64,178,2.78125,0,0,0,0,0,2019
Cx quinquefasciatus,RT669,2019-02-28,WNV,1,1,0,9,194,87,194,2.2298850574712645,0,0,0,0,0,2019
Cx quinquefasciatus,RT177,2019-03-05,WNV,5,5,0,10,614,137,517,3.7737226277372264,0,0,0,0,0,2019
Cx quinquefasciatus,RT872,2019-03-12,WNV,9,9,0,11,206,81,206,2.54320987654321,0,0,0,0,0,2019
Cx quinquefasciatus,RT835,2019-03-20,WNV,3,3,0,12,1112,211,958,4.540284360189573,0,0,0,0,0,2019
Cx quinquefasciatus,RT30,2019-03-29,WNV,2,2,0,13,1557,335,1502,4.483582089552239,0,0,0,0,0,2019
Cx quinquefasciatus,RT716,2019-04-05,WNV,2,2,0,14,480,70,397,5.671428571428572,0,0,0,0,0,2019
Cx quinquefasciatus,RT185,2019-04-09,WNV,6,6,0,15,1628,332,1467,4.418674698795181,0,0,0,0,0,2019
Cx quinquefasciatus,RT485,2019-04-16,WNV,5,5,0,16,1004,274,909,3.3175182481751824,1,0.0036496350364963502,1.1001100110011002,9.13660158926799e-4,0.913660158926799,2019
Cx quinquefasciatus,RT293,2019-04-23,WNV,6,1,0,17,1714,294,1410,4.795918367346939,0,0,0,0,0,2019
Cx quinquefasciatus,RT941,2019-04-30,WNV,6,6,0,18,1824,314,1514,4.821656050955414,4,0.012738853503184714,2.642007926023778,0.0025608530927591078,2.5608530927591078,2019
Cx quinquefasciatus,RT883,2019-05-07,WNV,3,3,0,19,1171,239,1045,4.372384937238493,5,0.02092050209205021,4.784688995215311,0.004219559849932941,4.219559849932941,2019
Cx quinquefasciatus,RT323,2019-05-14,WNV,1,1,0,20,2816,392,2406,6.137755102040816,23,0.058673469387755105,9.559434746467167,0.00860068576251427,8.60068576251427,2019
Cx quinquefasciatus,RT169,2019-05-21,WNV,6,6,0,21,1964,339,1564,4.613569321533923,22,0.06489675516224189,14.066496163682865,0.013330024411364882,13.330024411364882,2019
Cx quinquefasciatus,RT550,2019-05-30,WNV,3,3,0,22,2069,277,1550,5.595667870036101,26,0.09386281588447654,16.774193548387096,0.01629323347741507,16.293233477415072,2019
Cx quinquefasciatus,RT321,2019-06-04,WNV,5,5,0,23,2145,413,1851,4.481840193704601,56,0.13559322033898305,30.253916801728796,0.028721818710249925,28.721818710249924,2019
Cx quinquefasciatus,RT276,2019-06-11,WNV,1,1,0,24,6307,392,2257,5.75765306122449,51,0.13010204081632654,22.59636685866194,0.02296215694224546,22.96215694224546,2019
Cx quinquefasciatus,RT367,2019-06-19,WNV,2,2,0,25,3363,222,1401,6.3108108108108105,18,0.08108108108108109,12.847965738758031,0.012006961054837562,12.00696105483756,2019
Cx quinquefasciatus,RT689,2019-06-26,WNV,2,2,0,26,2510,192,1197,6.234375,21,0.109375,17.54385964912281,0.0164112460028083,16.411246002808298,2019
Cx quinquefasciatus,RT371,2019-07-03,WNV,1,1,0,27,1934,159,685,4.3081761006289305,15,0.09433962264150944,21.897810218978105,0.01962309128599571,19.62309128599571,2019
Cx quinquefasciatus,RT73,2019-07-10,WNV,6,6,0,28,762,155,560,3.6129032258064515,12,0.07741935483870968,21.42857142857143,0.019943564435445205,19.943564435445204,2019
Cx quinquefasciatus,RT645,2019-07-17,WNV,13,13,0,29,919,113,442,3.911504424778761,4,0.035398230088495575,9.049773755656108,0.008969515844580278,8.969515844580279,2019
Cx quinquefasciatus,RT691,2019-07-24,WNV,1,1,0,30,482,102,410,4.019607843137255,4,0.0392156862745098,9.756097560975611,0.007969143583783311,7.969143583783311,2019
Cx quinquefasciatus,RT550,2019-08-01,WNV,1,1,0,31,401,115,401,3.4869565217391303,0,0,0,0,0,2019
Cx quinquefasciatus,RT694,2019-08-07,WNV,6,6,0,32,744,183,745,4.0710382513661205,28,0.15300546448087432,37.583892617449656,0.03266673726102687,32.66673726102687,2019
Cx quinquefasciatus,RT550,2019-08-14,WNV,21,21,0,33,901,231,847,3.6666666666666665,5,0.021645021645021644,5.903187721369539,0.00545574090526213,5.45574090526213,2019
Cx quinquefasciatus,RT119,2019-08-21,WNV,1,1,0,34,623,186,622,3.3440860215053765,2,0.010752688172043012,3.2154340836012865,0.002699079942194982,2.699079942194982,2019
Cx quinquefasciatus,RT531,2019-08-27,WNV,2,2,0,35,893,187,890,4.759358288770054,1,0.0053475935828877,1.1235955056179774,0.0010718138250812581,1.071813825081258,2019
Cx quinquefasciatus,RT5,2019-09-04,WNV,1,1,0,36,811,181,752,4.154696132596685,0,0,0,0,0,2019
Cx quinquefasciatus,RT430,2019-09-10,WNV,1,1,0,37,594,181,591,3.265193370165746,0,0,0,0,0,2019
Cx quinquefasciatus,RT151,2019-09-17,WNV,1,1,0,38,582,216,577,2.6712962962962963,0,0,0,0,0,2019
Cx quinquefasciatus,RT367,2019-09-25,WNV,1,1,0,39,565,187,561,3,0,0,0,0,0,2019
Cx quinquefasciatus,RT850,2019-10-02,WNV,1,1,0,40,1121,242,977,4.037190082644628,1,0.004132231404958678,1.023541453428864,8.278157045735757e-4,0.8278157045735757,2019
Cx quinquefasciatus,RT839,2019-10-08,WNV,1,1,0,41,3056,392,2344,5.979591836734694,0,0,0,0,0,2019
Cx quinquefasciatus,RT31,2019-10-15,WNV,3,3,0,42,1601,352,1601,4.548295454545454,0,0,0,0,0,2019
Cx quinquefasciatus,RT31,2019-10-23,WNV,1,1,0,43,1603,262,1372,5.236641221374046,1,0.003816793893129771,0.7288629737609329,6.371463424108548e-4,0.6371463424108548,2019
Cx quinquefasciatus,RT511,2019-10-29,WNV,3,3,0,44,862,273,863,3.161172161172161,0,0,0,0,0,2019
Cx quinquefasciatus,RT334,2019-11-05,WNV,1,1,0,45,1603,289,1240,4.290657439446367,0,0,0,0,0,2019
Cx quinquefasciatus,RT886,2019-11-13,WNV,21,21,0,46,1242,245,944,3.853061224489796,0,0,0,0,0,2019
Cx quinquefasciatus,RT373,2019-11-19,WNV,1,1,0,47,467,149,466,3.12751677852349,0,0,0,0,0,2019
Cx quinquefasciatus,RT990,2019-11-26,WNV,2,2,0,48,400,158,400,2.5316455696202533,0,0,0,0,0,2019
Cx quinquefasciatus,RT811,2019-12-05,WNV,1,1,0,49,118,71,118,1.6619718309859155,0,0,0,0,0,2019
Cx quinquefasciatus,RT645,2019-12-12,WNV,7,7,0,50,446,151,446,2.9536423841059603,0,0,0,0,0,2019
Cx quinquefasciatus,RT465,2019-12-20,WNV,1,1,0,51,126,74,126,1.7027027027027026,0,0,0,0,0,2019
